0,1
1,3
2,9
3,7
4,2
5,4
6,9
7,6
8,9
9,5
10,3
11,6
12,2
13,8
14,7
15,8
16,3
17,6
18,7
19,1
20,0
21,0
22,6
23,5
24,1
25,0
26,0
27,0
28,3
29,3
30,1
31,5
32,8
33,7
34,7
35,2
36,0
37,0
38,0
39,1
40,2
41,4
42,7
43,6
44,7
45,3
46,8
47,9
48,5
49,2
50,4
51,8
52,1
53,1
54,9
55,6
56,9
57,7
58,8
59,4
60,3
61,9
62,4
63,3
64,5
65,7
66,4
67,7
68,0
69,8
70,4
71,5
74,9
75,1
76,1
77,7
78,7
79,4
80,3
82,7
83,1
84,8
85,7
86,9
87,8
88,3
89,5
92,2
93,1
94,6
95,6
96,7
97,9
98,0
99,2
100,5
101,3
102,0
103,0
104,0
106,8
107,3
108,9
109,1
110,8
112,6
113,2
114,7
115,0
116,1
117,1
118,8
119,8
120,8
121,0
122,1
123,3
124,8
125,8
126,8
127,9
128,5
129,3
130,6
131,9
132,7
133,3
134,8
135,7
137,8
138,0
139,0
140,2
141,0
142,7
143,7
144,4
145,0
146,3
147,6
148,8
149,5
151,0
152,1
153,3
154,8
155,7
156,2
157,2
158,2
159,3
160,5
161,5
162,0
